project	count	link	description	rank	growing_fast
CassandraLauncher	57,956	http://pypi.python.org/pypi/CassandraLauncher/1.18-7	Command line utilities for launching Cassandra clusters in EC2	842nd	false
pycryptopp	57,873	http://pypi.python.org/pypi/pycryptopp/0.6.0.1206569328141510525648634803928199668821045408958	Python wrappers for a few algorithms from the Crypto++ library	843rd	false
Products.SimpleAttachment	57,873	http://pypi.python.org/pypi/Products.SimpleAttachment/4.3	Simple Attachments for Plone	844th	false
django-suave	57,746	http://pypi.python.org/pypi/django-suave/0.5.19	Rather nice pages.	845th	false
grokcore.security	57,613	http://pypi.python.org/pypi/grokcore.security/1.6.2	Grok-like configuration for Zope security components	846th	false
django-plus	57,522	http://pypi.python.org/pypi/django-plus/1.2.21	Django utilities library	847th	false
django-fabfile	57,376	http://pypi.python.org/pypi/django-fabfile/2012.11.13.2	Fabric tasks for Django and Amazon Web Services	848th	false
JMake	57,347	http://pypi.python.org/pypi/JMake/0.9.11	C/C++ build tool	849th	false
testrepository	57,255	http://pypi.python.org/pypi/testrepository/0.0.15	A repository of test results.	850th	true
cef	57,145	http://pypi.python.org/pypi/cef/0.5	Module that emits CEF logs	851st	false
Products.OFSP	56,811	http://pypi.python.org/pypi/Products.OFSP/2.13.2	General Zope 2 help screens.	852nd	false
relatorio	56,783	http://pypi.python.org/pypi/relatorio/0.5.7	A templating library able to output odt and pdf files	853rd	false
JCC	56,686	http://pypi.python.org/pypi/JCC/2.16	a C++ code generator for calling Java from C++/Python	854th	false
Products.CacheSetup	56,646	http://pypi.python.org/pypi/Products.CacheSetup/1.2.1	Control caching of Plone sites	855th	false
biotools	56,513	http://pypi.python.org/pypi/biotools/1.2.10	A bunch of bioinformatics utilities	856th	false
bitarray	56,382	http://pypi.python.org/pypi/bitarray/0.8.1	efficient arrays of booleans -- C extension	857th	true
Products.LDAPUserFolder	56,347	http://pypi.python.org/pypi/Products.LDAPUserFolder/2.24	A LDAP-enabled Zope 2 user folder	858th	false
urlfetch	56,283	http://pypi.python.org/pypi/urlfetch/0.5.4.2	An easy to use HTTP client	859th	true
WSGIProxy	56,122	http://pypi.python.org/pypi/WSGIProxy/0.2.2	HTTP proxying tools for WSGI apps	860th	false
lizard-map	56,015	http://pypi.python.org/pypi/lizard-map/4.27	Basic map setup for lizard web sites	861st	false
zope.keyreference	55,998	http://pypi.python.org/pypi/zope.keyreference/4.0.0a2	Key References	862nd	false
zope.app.localpermission	55,914	http://pypi.python.org/pypi/zope.app.localpermission/3.7.2	Local Persistent Permissions for zope.security	863rd	false
Beaver	55,643	http://pypi.python.org/pypi/Beaver/28	python daemon that munches on logs and sends their contents to logstash	864th	false
Products.DataGridField	55,600	http://pypi.python.org/pypi/Products.DataGridField/1.8.4	A table input component for Plone.	865th	false
pilas	55,529	http://pypi.python.org/pypi/pilas/0.79	A simple to use video game framework.	866th	false
plone.outputfilters	55,485	http://pypi.python.org/pypi/plone.outputfilters/1.9	Transformations applied to HTML in Plone text fields as they are rendered	867th	false
lino	55,456	http://pypi.python.org/pypi/lino/1.6.7	A web application framework using Django and ExtJS	868th	false
pylast	55,448	http://pypi.python.org/pypi/pylast/0.5.11	A Python interface to Last.fm (and other API compatible social networks)	869th	false
Products.Ploneboard	55,388	http://pypi.python.org/pypi/Products.Ploneboard/3.4	A discussion board for Plone.	870th	false
django-filter	55,348	http://pypi.python.org/pypi/django-filter/0.6	Django-filter is a reusable Django application for allowing users to filter queryset dynamically.	871st	false
plone.app.caching	55,335	http://pypi.python.org/pypi/plone.app.caching/1.1.3	Plone UI and default rules for plone.caching/z3c.caching	872nd	false
tablib	55,012	http://pypi.python.org/pypi/tablib/0.9.11	Format agnostic tabular data library (XLS, JSON, YAML, CSV)	873rd	true
ToscaWidgets	54,991	http://pypi.python.org/pypi/ToscaWidgets/0.9.12	Web widget creation toolkit based on TurboGears widgets	874th	false
seqdiag	54,788	http://pypi.python.org/pypi/seqdiag/0.8.2	seqdiag generate sequence-diagram image file from spec-text file.	875th	false
Products.EasyNewsletter	54,662	http://pypi.python.org/pypi/Products.EasyNewsletter/2.6.11	An easy to use but powerfull newsletter/mailing product for Plone 3+4	876th	false
EasyWidgets	54,438	http://pypi.python.org/pypi/EasyWidgets/0.2dev-20130116	A minimalistic approach to HTML generation and validation with TurboGears	877th	false
zope.ramcache	54,383	http://pypi.python.org/pypi/zope.ramcache/2.0.0	Zope RAM Cache	878th	false
plone.app.theming	54,312	http://pypi.python.org/pypi/plone.app.theming/1.1	Integrates the Diazo theming engine with Plone	879th	false
zope.app.securitypolicy	54,172	http://pypi.python.org/pypi/zope.app.securitypolicy/3.6.1	ZMI-based management views for zope.securitypolicy	880th	false
python-twitter	54,158	http://pypi.python.org/pypi/python-twitter/0.8.7	A python wrapper around the Twitter API	881st	false
zope.testrunner	54,157	http://pypi.python.org/pypi/zope.testrunner/4.3.3	Zope testrunner script.	882nd	true
