project	count	link	description	rank	growing_fast
warehouse	199,190	http://pypi.python.org/pypi/warehouse/0.12.4	API Driven Python Package Index	239th	false
plone.app.workflow	199,061	http://pypi.python.org/pypi/plone.app.workflow/2.1.3	workflow and security settings for Plone	240th	false
minitage.core	198,361	http://pypi.python.org/pypi/minitage.core/2.0.57	A meta package-manager to deploy projects on UNIX Systemes sponsored by Makina Corpus.	241st	false
django-tagging	198,059	http://pypi.python.org/pypi/django-tagging/0.3.1	Generic tagging application for Django	242nd	false
plone.app.contentmenu	197,583	http://pypi.python.org/pypi/plone.app.contentmenu/2.0.8	Plone's content menu implementation	243rd	false
mongoengine	196,794	http://pypi.python.org/pypi/mongoengine/0.8.0RC4	A Python Document-Object Mapper for working with MongoDB	244th	true
oauthlib	196,670	http://pypi.python.org/pypi/oauthlib/0.4.0	A generic, spec-compliant, thorough implementation of the OAuth request-signing logic	245th	false
python-keystoneclient	195,708	http://pypi.python.org/pypi/python-keystoneclient/0.2.3	Client library for OpenStack Identity API (Keystone)	246th	false
rsa	194,600	http://pypi.python.org/pypi/rsa/3.1.1	Pure-Python RSA implementation	247th	false
rdflib	193,524	http://pypi.python.org/pypi/rdflib/3.4.0	RDFLib is a Python library for working with RDF, a simple yet powerful language for representing information.	248th	true
plone.memoize	193,384	http://pypi.python.org/pypi/plone.memoize/1.1.1	Decorators for caching the values of functions and methods	249th	false
five.localsitemanager	193,260	http://pypi.python.org/pypi/five.localsitemanager/2.0.5	Local site manager implementation for Zope 2	250th	false
plone.app.kss	192,324	http://pypi.python.org/pypi/plone.app.kss/1.8.0	KSS (Kinetic Style Sheets) for Plone	251st	false
zope.dottedname	191,527	http://pypi.python.org/pypi/zope.dottedname/4.0.1	Resolver for Python dotted names.	252nd	true
dotcloud.cli	191,123	http://pypi.python.org/pypi/dotcloud.cli/0.4.8	dotCloud command-line interface client	253rd	false
django-tastypie	190,551	http://pypi.python.org/pypi/django-tastypie/0.9.15	A flexible & capable API layer for Django.	254th	false
rightscale	188,690	http://pypi.python.org/pypi/rightscale/0.302	Object-oriented library for RightScale's API.	255th	false
cliff	188,617	http://pypi.python.org/pypi/cliff/1.3.3	Command Line Interface Formulation Framework	256th	true
virtualenv-clone	188,160	http://pypi.python.org/pypi/virtualenv-clone/0.2.4	script to clone virtualenvs.	257th	true
zope.tales	187,177	http://pypi.python.org/pypi/zope.tales/4.0.1	Zope Template Application Language Expression Syntax (TALES)	258th	true
pyzmq	187,097	http://pypi.python.org/pypi/pyzmq/13.1.0	Python bindings for 0MQ	259th	true
z3c.recipe.scripts	186,758	http://pypi.python.org/pypi/z3c.recipe.scripts/1.0.1	Recipe for installing Python scripts	260th	false
zope.pagetemplate	186,346	http://pypi.python.org/pypi/zope.pagetemplate/4.0.4	Zope Page Templates	261st	false
zc.recipe.testrunner	186,254	http://pypi.python.org/pypi/zc.recipe.testrunner/2.0.0	ZC Buildout recipe for creating test runners	262nd	false
zope.tal	186,066	http://pypi.python.org/pypi/zope.tal/4.0.0a1	Zope Template Application Language (TAL)	263rd	true
python-digest	185,368	http://pypi.python.org/pypi/python-digest/1.7	A Python library to aid in implementing HTTP Digest Authentication.	264th	false
makesite	185,183	http://pypi.python.org/pypi/makesite/0.9.83	Makesite is collection scripts for make and control site structure.	265th	false
Products.PlonePAS	184,264	http://pypi.python.org/pypi/Products.PlonePAS/4.1.1	PlonePAS adapts the PluggableAuthService for use by Plone.	266th	false
django-cms	183,497	http://pypi.python.org/pypi/django-cms/2.4.1	An Advanced Django CMS	267th	false
mechanize	182,828	http://pypi.python.org/pypi/mechanize/0.2.5	Stateful programmatic web browsing.	268th	false
Shapely	182,586	http://pypi.python.org/pypi/Shapely/1.2.17	Geometric objects, predicates, and operations	269th	false
plone.portlets	182,302	http://pypi.python.org/pypi/plone.portlets/2.2	An extension of zope.viewlet to support dynamic portlets	270th	false
django-pipeline	182,247	http://pypi.python.org/pypi/django-pipeline/1.3.9	Pipeline is an asset packaging library for Django.	271st	true
zope.testbrowser	182,186	http://pypi.python.org/pypi/zope.testbrowser/3.6.0	Programmable browser for functional black-box tests	272nd	false
nltk	181,258	http://pypi.python.org/pypi/nltk/2.0.4	Natural Language Toolkit	273rd	false
jsonschema	181,046	http://pypi.python.org/pypi/jsonschema/1.3.0	An implementation of JSON Schema validation for Python	274th	true
plone.app.customerize	180,246	http://pypi.python.org/pypi/plone.app.customerize/1.1.4	Integrate five.customerize into Plone.	275th	false
plone.locking	180,234	http://pypi.python.org/pypi/plone.locking/2.0.4	webdav locking support	276th	false
plone.app.locales	179,544	http://pypi.python.org/pypi/plone.app.locales/4.3.1	Translation files for Plone	277th	false
Products.CMFEditions	179,423	http://pypi.python.org/pypi/Products.CMFEditions/2.2.8	Versioning for Plone	278th	false
plone.app.redirector	178,863	http://pypi.python.org/pypi/plone.app.redirector/1.2a1	redirection tool	279th	false
plone.session	178,332	http://pypi.python.org/pypi/plone.session/3.5.3	Session based authentication for Zope	280th	false
plone.app.openid	176,818	http://pypi.python.org/pypi/plone.app.openid/2.0.2	Plone OpenID authentication support	281st	false
warlock	176,240	http://pypi.python.org/pypi/warlock/1.0.0	Python object model built on JSON schema and JSON patch.	282nd	false
djangorecipe	175,973	http://pypi.python.org/pypi/djangorecipe/1.5	Buildout recipe for Django	283rd	true
configobj	175,745	http://pypi.python.org/pypi/configobj/4.7.2	Config file reading, writing and validation.	284th	false
bson	175,369	http://pypi.python.org/pypi/bson/0.3.3	BSON codec for Python	285th	false
five.customerize	174,995	http://pypi.python.org/pypi/five.customerize/1.1	TTW customization of template-based Zope views	286th	false
zope.filerepresentation	174,934	http://pypi.python.org/pypi/zope.filerepresentation/4.0.2	File-system Representation Interfaces	287th	true
zope.contenttype	174,611	http://pypi.python.org/pypi/zope.contenttype/4.0.1	Zope contenttype	288th	true
jlddk	174,601	http://pypi.python.org/pypi/jlddk/0.7.37	Collection of robots	289th	false
Products.ATContentTypes	174,355	http://pypi.python.org/pypi/Products.ATContentTypes/2.1.12	Default Content Types for Plone	290th	false
plone.contentrules	174,091	http://pypi.python.org/pypi/plone.contentrules/2.0.2	Plone ContentRules Engine	291st	false
zc.lockfile	173,699	http://pypi.python.org/pypi/zc.lockfile/1.1.0	Basic inter-process locks	292nd	true
django-pagination	173,571	http://pypi.python.org/pypi/django-pagination/1.0.7	django-pagination	293rd	false
matplotlib	173,451	http://pypi.python.org/pypi/matplotlib/1.1.1	Python plotting package	294th	true
plone.fieldsets	173,295	http://pypi.python.org/pypi/plone.fieldsets/2.0.2	An extension to zope.formlib, which allows to group fields into different fieldsets.	295th	false
plone.theme	173,160	http://pypi.python.org/pypi/plone.theme/2.1	Tools for managing themes in CMF and Plone sites	296th	false
openpyxl	172,632	http://pypi.python.org/pypi/openpyxl/1.6.2	A Python library to read/write Excel 2007 xlsx/xlsm files	297th	true
plone.app.i18n	172,495	http://pypi.python.org/pypi/plone.app.i18n/2.0.2	Plone specific i18n extensions.	298th	false
flake8	172,272	http://pypi.python.org/pypi/flake8/2.0	code checking using pep8 and pyflakes	299th	false
sqlalchemy-migrate	171,821	http://pypi.python.org/pypi/sqlalchemy-migrate/0.7.2	Database schema migration for SQLAlchemy	300th	false
croniter	170,399	http://pypi.python.org/pypi/croniter/0.3.3	croniter provides iteration for datetime object with cron like format	301st	false
plone.recipe.zope2install	169,444	http://pypi.python.org/pypi/plone.recipe.zope2install/3.3	ZC Buildout recipe for installing Zope 2.	302nd	false
borg.localrole	168,688	http://pypi.python.org/pypi/borg.localrole/3.0.2	A PAS plugin which can manage local roles via an adapter lookup on the current context	303rd	false
importlib	167,503	http://pypi.python.org/pypi/importlib/1.0.2	Backport of importlib.import_module() from Python 2.7	304th	true
zope.app.publisher	167,118	http://pypi.python.org/pypi/zope.app.publisher/3.8.5	Implementations and means for configuration of Zope 3-style views and resources.	305th	false
blinker	167,021	http://pypi.python.org/pypi/blinker/1.2	Fast, simple object-to-object and broadcast signaling	306th	true
zope.app.publication	166,614	http://pypi.python.org/pypi/zope.app.publication/4.0.0a1.dev	Zope publication	307th	false
django-test-utils	166,215	http://pypi.python.org/pypi/django-test-utils/0.3	A package to help testing in Django	308th	false
django-indexer	165,711	http://pypi.python.org/pypi/django-indexer/0.3.0	Key/Value Indexer	309th	false
z3c.form	164,722	http://pypi.python.org/pypi/z3c.form/3.0.0a3	An advanced form and widget framework for Zope 3	310th	false
envoy	164,384	http://pypi.python.org/pypi/envoy/0.0.2	Simple API for running external processes.	311th	false
Flask-WTF	164,288	http://pypi.python.org/pypi/Flask-WTF/0.8.3	Simple integration of Flask and WTForms	312th	false
zope.formlib	164,130	http://pypi.python.org/pypi/zope.formlib/4.3.0a1	Form generation and validation library for Zope	313th	false
plone.app.viewletmanager	164,126	http://pypi.python.org/pypi/plone.app.viewletmanager/2.0.3	configurable viewlet manager	314th	false
django-haystack	163,296	http://pypi.python.org/pypi/django-haystack/2.0.0	Pluggable search for Django.	315th	false
zope.app.form	163,289	http://pypi.python.org/pypi/zope.app.form/4.0.2	The Original Zope 3 Form Framework	316th	false
plone.openid	162,982	http://pypi.python.org/pypi/plone.openid/2.0.1	OpenID authentication support for PAS	317th	false
RestrictedPython	162,934	http://pypi.python.org/pypi/RestrictedPython/3.6.0	RestrictedPython provides a restricted execution environment for Python, e.g. for running untrusted code.	318th	false
pam	162,780	http://pypi.python.org/pypi/pam/0.1.4	None	319th	false
cssmin	162,378	http://pypi.python.org/pypi/cssmin/0.1.4	A Python port of the YUI CSS compression algorithm.	320th	false
pyramid_debugtoolbar	160,929	http://pypi.python.org/pypi/pyramid_debugtoolbar/1.0.6	A package which provides an interactive HTML debugger for Pyramid application development	321st	true
Products.GenericSetup	160,886	http://pypi.python.org/pypi/Products.GenericSetup/1.6.9	Read Zope configuration state from profile dirs / tarballs	322nd	false
repoze.who	160,787	http://pypi.python.org/pypi/repoze.who/2.1	repoze.who is an identification and authentication framework for WSGI.	323rd	true
AutoNetkit	160,074	http://pypi.python.org/pypi/AutoNetkit/0.6.1dev-20120713	Automated configuration generator for cBGP, Netkit and Junosphere	324th	false
plone.browserlayer	159,947	http://pypi.python.org/pypi/plone.browserlayer/2.1.2	Browser layer management for Zope 2 applications	325th	false
collective.plonetruegallery	159,026	http://pypi.python.org/pypi/collective.plonetruegallery/3.3.1b1	A gallery/slideshow product for plone that can aggregate from picasa and flickr or use plone images.	326th	false
wsgiref	158,817	http://pypi.python.org/pypi/wsgiref/0.1.2	WSGI (PEP 333) Reference Library	327th	false
Products.ResourceRegistries	158,809	http://pypi.python.org/pypi/Products.ResourceRegistries/2.2.7	Registry for managing CSS and JS	328th	false
zope.lifecycleevent	158,699	http://pypi.python.org/pypi/zope.lifecycleevent/4.0.2	Object life-cycle events	329th	true
django-tinymce	158,522	http://pypi.python.org/pypi/django-tinymce/1.5.1	A Django application that contains a widget to render a form field as a TinyMCE editor.	330th	false
djangorestframework	158,424	http://pypi.python.org/pypi/djangorestframework/2.3.3	A lightweight REST framework for Django.	331st	true
timeout	158,348	http://pypi.python.org/pypi/timeout/0.1.2	Python Timeout Decorators	332nd	false
waitress	157,968	http://pypi.python.org/pypi/waitress/0.8.3	Waitress WSGI server	333rd	true
wicked	157,732	http://pypi.python.org/pypi/wicked/1.1.10	wicked is a compact syntax for doing wiki-like content linking and creation in zope and plone	334th	false
plone.intelligenttext	157,564	http://pypi.python.org/pypi/plone.intelligenttext/2.0.2	Provides transforms from text/x-web-intelligent to text/html and vice versa.	335th	false
ez_setup	157,306	http://pypi.python.org/pypi/ez_setup/0.9	ez_setup.py and distribute_setup.py	336th	true
plone.portlet.static	156,189	http://pypi.python.org/pypi/plone.portlet.static/2.0.2	A simple static HTML portlet for Plone.	337th	false
zope.browser	155,979	http://pypi.python.org/pypi/zope.browser/2.0.2	Shared Zope Toolkit browser components	338th	true
execnet	155,587	http://pypi.python.org/pypi/execnet/1.1	execnet: rapid multi-Python deployment	339th	true
zope.app.container	155,329	http://pypi.python.org/pypi/zope.app.container/3.9.2	Zope Container	340th	false
plone.portlet.collection	155,266	http://pypi.python.org/pypi/plone.portlet.collection/2.1.5	A portlet that fetches results from a collection	341st	false
hexagonit.recipe.download	155,139	http://pypi.python.org/pypi/hexagonit.recipe.download/1.7	zc.buildout recipe for downloading and extracting packages	342nd	false
PyMySQL	155,003	http://pypi.python.org/pypi/PyMySQL/0.5	Pure Python MySQL Driver	343rd	false
Products.PloneFormGen	152,772	http://pypi.python.org/pypi/Products.PloneFormGen/1.7.8	A through-the-web form generator for Plone	344th	false
ll-xist	152,764	http://pypi.python.org/pypi/ll-xist/4.10	Extensible HTML/XML generator, cross-platform templating language, Oracle utilities and various other tools	345th	true
easy-thumbnails	152,646	http://pypi.python.org/pypi/easy-thumbnails/1.2	Easy thumbnails for Django	346th	false
fpconst	152,410	http://pypi.python.org/pypi/fpconst/0.7.2	Utilities for handling IEEE 754 floating point special values	347th	false
plone.recipe.distros	151,989	http://pypi.python.org/pypi/plone.recipe.distros/1.5	ZC Buildout recipe for installing distributions.	348th	false
archetypes.referencebrowserwidget	151,670	http://pypi.python.org/pypi/archetypes.referencebrowserwidget/2.4.17	A referencebrowser implementation for Archetypes	349th	false
Products.PloneLanguageTool	151,644	http://pypi.python.org/pypi/Products.PloneLanguageTool/3.2.7	PloneLanguageTool allows you to set the available languages in your Plone site, select various fallback mechanisms, and control the use of flags for language selection and translations.	350th	false
plone.app.upgrade	150,902	http://pypi.python.org/pypi/plone.app.upgrade/1.3.1	Upgrade machinery for Plone.	351st	false
hgtools	150,074	http://pypi.python.org/pypi/hgtools/3.0.2	Classes and setuptools plugin for Mercurial repositories	352nd	true
zope.container	149,412	http://pypi.python.org/pypi/zope.container/4.0.0a3	Zope Container	353rd	false
Clay	149,286	http://pypi.python.org/pypi/Clay/2.4.6	A rapid prototyping tool	354th	false
Flask-SQLAlchemy	147,770	http://pypi.python.org/pypi/Flask-SQLAlchemy/0.16	Adds SQLAlchemy support to your Flask application	355th	false
carrot	147,553	http://pypi.python.org/pypi/carrot/0.10.7	AMQP Messaging Framework for Python	356th	false
rsb-python	147,170	http://pypi.python.org/pypi/rsb-python/0.7.0.114	Fully event-driven Robotics Service Bus	357th	false
pystache	146,964	http://pypi.python.org/pypi/pystache/0.5.3	Mustache for Python	358th	true
recaptcha-client	146,938	http://pypi.python.org/pypi/recaptcha-client/1.0.6	A plugin for reCAPTCHA and reCAPTCHA Mailhide	359th	false
zope.app.pagetemplate	146,880	http://pypi.python.org/pypi/zope.app.pagetemplate/3.11.2	PageTemplate integration for Zope 3	360th	false
plone.keyring	146,357	http://pypi.python.org/pypi/plone.keyring/2.0.1	Manage secrets	361st	false
plone.protect	145,951	http://pypi.python.org/pypi/plone.protect/2.0.2	Security for browser forms	362nd	false
flup	145,079	http://pypi.python.org/pypi/flup/1.0.3.dev-20110405	Random assortment of WSGI servers	363rd	false
unittest-xml-reporting	144,226	http://pypi.python.org/pypi/unittest-xml-reporting/1.4.3	PyUnit-based test runner with JUnit like XML reporting.	364th	true
zope.app.component	144,074	http://pypi.python.org/pypi/zope.app.component/3.9.3	Local Zope Component Support	365th	false
Kotti	143,578	http://pypi.python.org/pypi/Kotti/0.9a2	Kotti is a high-level, 'Pythonic' web application framework. It includes a small and extensible CMS application called the Kotti CMS.	366th	false
odict	142,918	http://pypi.python.org/pypi/odict/1.5.1	Ordered dictionary.	367th	false
zope.session	142,802	http://pypi.python.org/pypi/zope.session/4.0.0a1	Client identification and sessions for Zope	368th	false
GitPython	141,798	http://pypi.python.org/pypi/GitPython/0.3.2.RC1	Python Git Library	369th	false
zope.dublincore	141,783	http://pypi.python.org/pypi/zope.dublincore/4.0.0	Zope Dublin Core implementation	370th	false
Products.PortalTransforms	141,726	http://pypi.python.org/pypi/Products.PortalTransforms/2.1.2	MIME based content transformations	371st	false
pyinotify	141,518	http://pypi.python.org/pypi/pyinotify/0.9.4	Linux filesystem events monitoring	372nd	true
lettuce	141,458	http://pypi.python.org/pypi/lettuce/0.2.16	Behaviour Driven Development for python	373rd	false
zope.app.appsetup	141,400	http://pypi.python.org/pypi/zope.app.appsetup/4.0.0a1	Zope app setup helper	374th	false
zope.annotation	141,328	http://pypi.python.org/pypi/zope.annotation/4.2.0	Object annotation mechanism	375th	true
zope.site	140,981	http://pypi.python.org/pypi/zope.site/4.0.0a1	Local registries for zope component architecture	376th	false
Neptuno2	140,542	http://pypi.python.org/pypi/Neptuno2/1.2.2	A little set of utilities that Ender has been using in their web projects	377th	false
plone.app.jquerytools	140,237	http://pypi.python.org/pypi/plone.app.jquerytools/1.5.5	jQuery Tools integration for Plone plus overlay and AJAX form helpers.	378th	false
django-sekizai	139,760	http://pypi.python.org/pypi/django-sekizai/0.7	Django Sekizai	379th	true
Products.PasswordResetTool	139,522	http://pypi.python.org/pypi/Products.PasswordResetTool/2.0.13	Password reset tool for Plone	380th	false
zope.deferredimport	139,287	http://pypi.python.org/pypi/zope.deferredimport/4.0.0	zope.deferredimport allows you to perform imports names that will only be resolved when used in the code.	381st	false
Babel	139,228	http://pypi.python.org/pypi/Babel/0.9.6	Internationalization utilities	382nd	false
cssutils	138,545	http://pypi.python.org/pypi/cssutils/0.9.10	A CSS Cascading Style Sheets library for Python	383rd	true
pbp.recipe.noserunner	137,893	http://pypi.python.org/pypi/pbp.recipe.noserunner/0.2.6	Expert Python Programming - ZC Buildout runner for nose	384th	false
zope.error	137,848	http://pypi.python.org/pypi/zope.error/4.1.0	An error reporting utility for Zope3	385th	false
python-gflags	137,473	http://pypi.python.org/pypi/python-gflags/2.0	Google Commandline Flags Module	386th	false
zope.size	137,394	http://pypi.python.org/pypi/zope.size/4.0.1	Interfaces and simple adapter that give the size of an object	387th	true
plone.app.z3cform	137,231	http://pypi.python.org/pypi/plone.app.z3cform/0.7.2	A collection of widgets, templates and other components for use with z3c.form and Plone	388th	false
readline	137,191	http://pypi.python.org/pypi/readline/6.2.4.1	The standard Python readline extension statically linked against the GNU readline library.	389th	true
Products.PluggableAuthService	136,322	http://pypi.python.org/pypi/Products.PluggableAuthService/1.10.0	Pluggable Zope2 authentication / authorization framework	390th	false
apache-libcloud	136,237	http://pypi.python.org/pypi/apache-libcloud/0.12.4	A standard Python library that abstracts away differencesamong multiple cloud provider APIs	391st	true
pexpect	135,537	http://pypi.python.org/pypi/pexpect/2.4	Pexpect is a pure Python Expect. It allows easy control of other applications.	392nd	false
cube-client	135,140	http://pypi.python.org/pypi/cube-client/0.1	A Python client for Cube: Time Series Data Collection & Analysis	393rd	false
Acquisition	135,062	http://pypi.python.org/pypi/Acquisition/4.0	Acquisition is a mechanism that allows objects to obtain attributes from the containment hierarchy they're in.	394th	false
ZopeSkel	135,010	http://pypi.python.org/pypi/ZopeSkel/3.0b3	Templates and code generator for quickstarting Python, Zope and Plone projects.	395th	false
zope.app.testing	134,992	http://pypi.python.org/pypi/zope.app.testing/3.10.0	Zope Application Testing Support	396th	false
Products.PlacelessTranslationService	134,830	http://pypi.python.org/pypi/Products.PlacelessTranslationService/2.0.3	PTS provides a way of internationalizing (i18n'ing) and localizing (l10n'ing) software for Zope 2.	397th	false
DateTime	134,221	http://pypi.python.org/pypi/DateTime/4.0	This package provides a DateTime data type, as known from Zope 2.Unless you need to communicate with Zope 2 APIs, you're probablybetter off using Python's built-in datetime module.	398th	false
restkit	134,198	http://pypi.python.org/pypi/restkit/4.2.1	Python REST kit	399th	false
zope.viewlet	133,660	http://pypi.python.org/pypi/zope.viewlet/4.0.0a1	Zope Viewlets	400th	false
jsonpatch	132,686	http://pypi.python.org/pypi/jsonpatch/1.0	Apply JSON-Patches according to http://tools.ietf.org/html/draft-pbryan-json-patch-01	401st	false
python-quantumclient	132,486	http://pypi.python.org/pypi/python-quantumclient/2.2.1	CLI and python client library for OpenStack Quantum	402nd	false
django-grappelli	131,525	http://pypi.python.org/pypi/django-grappelli/2.4.4	A jazzy skin for the Django Admin-Interface.	403rd	false
StrangeCase	131,516	http://pypi.python.org/pypi/StrangeCase/4.6.3	A straightforward python static site generator.	404th	false
zope.contentprovider	131,095	http://pypi.python.org/pypi/zope.contentprovider/4.0.0a1	Content Provider Framework for Zope Templates	405th	false
zope.copypastemove	131,031	http://pypi.python.org/pypi/zope.copypastemove/4.0.0a1	Copy, Paste and Move support for content components.	406th	false
nma-python	130,764	http://pypi.python.org/pypi/nma-python/0.2.3	A library/cli tool for notifymyandroid (http://nma.usk.bz)	407th	false
ujson	130,548	http://pypi.python.org/pypi/ujson/1.30	Ultra fast JSON encoder and decoder for Python	408th	true
jsonpointer	130,212	http://pypi.python.org/pypi/jsonpointer/1.0	A JSON Pointer that can reference parts of an JSON document	409th	false
futures	129,696	http://pypi.python.org/pypi/futures/2.1.3	Backport of the concurrent.futures package from Python 3.2	410th	true
archetypes.schemaextender	129,509	http://pypi.python.org/pypi/archetypes.schemaextender/2.1.2	Dynamically extend Archetypes schemas with named adapters.	411th	false
Products.CMFQuickInstallerTool	128,891	http://pypi.python.org/pypi/Products.CMFQuickInstallerTool/3.0.6	CMFQuickInstallerTool is a facility for comfortable activation/deactivation of CMF compliant products.	412th	false
zope.sendmail	128,720	http://pypi.python.org/pypi/zope.sendmail/4.0.0a2	Zope sendmail	413th	false
cmd2	128,414	http://pypi.python.org/pypi/cmd2/0.6.5.1	Extra features for standard library's cmd module	414th	false
Products.CMFCore	127,946	http://pypi.python.org/pypi/Products.CMFCore/2.2.7	Zope Content Management Framework core components	415th	false
django_openstack_auth	127,596	http://pypi.python.org/pypi/django_openstack_auth/1.0.9	A Django authentication backend for use with the OpenStack Keystone Identity backend.	416th	false
python-memcached	127,050	http://pypi.python.org/pypi/python-memcached/1.51	Pure python memcached client	417th	false
python-cinderclient	127,009	http://pypi.python.org/pypi/python-cinderclient/1.0.4	Client library for OpenStack Cinder API.	418th	false
zope.app.locales	126,546	http://pypi.python.org/pypi/zope.app.locales/3.7.4	Zope locale extraction and management utilities	419th	false
keyring	125,825	http://pypi.python.org/pypi/keyring/1.2.2	Store and access your passwords safely.	420th	true
plone.app.discussion	125,437	http://pypi.python.org/pypi/plone.app.discussion/2.2.5	Enhanced discussion support for Plone	421st	false
pytest-xdist	125,150	http://pypi.python.org/pypi/pytest-xdist/1.8	py.test xdist plugin for distributed testing and loop-on-failing modes	422nd	true
plone.z3cform	124,974	http://pypi.python.org/pypi/plone.z3cform/0.8.0	plone.z3cform is a library that allows use of z3c.form with Zope 2 and the CMF.	423rd	false
Products.CMFPlacefulWorkflow	124,804	http://pypi.python.org/pypi/Products.CMFPlacefulWorkflow/1.5.9	Workflow policies for CMF and Plone	424th	false
zope.app.wsgi	124,648	http://pypi.python.org/pypi/zope.app.wsgi/4.0.0a4	WSGI application for the zope.publisher	425th	false
vcstools	124,539	http://pypi.python.org/pypi/vcstools/0.1.30	VCS/SCM source control library for svn, git, hg, and bzr	426th	true
Products.CMFFormController	124,071	http://pypi.python.org/pypi/Products.CMFFormController/3.0.3	CMFFormController provides a form validation mechanism for CMF.	427th	false
collective.z3cform.datetimewidget	124,014	http://pypi.python.org/pypi/collective.z3cform.datetimewidget/1.2.3	z3c.form date and datetime widgets	428th	false
django-autocomplete-light	123,569	http://pypi.python.org/pypi/django-autocomplete-light/1.1.31	Simple alternative to django-ajax-selects	429th	false
colorama	123,088	http://pypi.python.org/pypi/colorama/0.2.5	Cross-platform colored terminal text.	430th	true
httpagentparser	122,756	http://pypi.python.org/pypi/httpagentparser/1.2.2	Extracts OS Browser etc information from http user agent string	431st	true
Products.CMFDynamicViewFTI	122,678	http://pypi.python.org/pypi/Products.CMFDynamicViewFTI/4.0.4	CMFDynamicViewFTI is a product for dynamic views in CMF.	432nd	false
plone.app.blob	122,228	http://pypi.python.org/pypi/plone.app.blob/1.5.8	ZODB blob support for Plone	433rd	false
zope.minmax	122,187	http://pypi.python.org/pypi/zope.minmax/2.0.0	Homogeneous values favoring maximum or minimum for ZODB conflict resolution	434th	false
pisa	122,075	http://pypi.python.org/pypi/pisa/3.0.33	PDF generator using HTML and CSS	435th	false
django-redis	122,074	http://pypi.python.org/pypi/django-redis/3.2	Redis Cache Backend for Django. (This is fork of django-redis-cache)	436th	true
Products.LinguaPlone	121,989	http://pypi.python.org/pypi/Products.LinguaPlone/4.1.3	Manage and maintain multilingual content that integrates seamlessly with Plone.	437th	false
django-jsonfield	121,559	http://pypi.python.org/pypi/django-jsonfield/0.9.4	JSONField for django models	438th	false
django-reversion	121,446	http://pypi.python.org/pypi/django-reversion/1.7	An extension to the Django web framework that provides comprehensive version control facilities	439th	false
django-jenkins	121,305	http://pypi.python.org/pypi/django-jenkins/0.14.0	Plug and play continuous integration with django and jenkins	440th	true
enum	120,111	http://pypi.python.org/pypi/enum/0.4.4	Robust enumerated type support in Python.	441st	false
zope.app.security	120,108	http://pypi.python.org/pypi/zope.app.security/3.7.5	ZMI Views For Zope3 Security Components	442nd	false
zope.structuredtext	119,723	http://pypi.python.org/pypi/zope.structuredtext/4.0.0	StructuredText parser	443rd	false
pandas	119,274	http://pypi.python.org/pypi/pandas/0.11.0	Powerful data structures for data analysis and statistics	444th	true
django-staticfiles	119,221	http://pypi.python.org/pypi/django-staticfiles/1.2.1	A Django app that provides helpers for serving static files.	445th	false
uncertainties	118,951	http://pypi.python.org/pypi/uncertainties/2.3.6	Transparent calculations with uncertainties on the quantities involved (aka "error propagation"); fast calculation of derivatives	446th	true
Products.statusmessages	118,875	http://pypi.python.org/pypi/Products.statusmessages/4.0	statusmessages provides an easy way of handling internationalized status messages managed via an BrowserRequest adapter storing status messages in client-side cookies.	447th	false
zope.cachedescriptors	117,595	http://pypi.python.org/pypi/zope.cachedescriptors/4.0.0	Method and property caching decorators	448th	true
plonetheme.arnolfini	117,017	http://pypi.python.org/pypi/plonetheme.arnolfini/0.89	An installable theme for Plone 4	449th	false
zope.app.authentication	116,959	http://pypi.python.org/pypi/zope.app.authentication/3.9	Principals and groups management for the pluggable authentication utility	450th	false
gitdb	116,888	http://pypi.python.org/pypi/gitdb/0.5.4	Git Object Database	451st	false
grab	116,790	http://pypi.python.org/pypi/grab/0.4.10	Pycurl wrapper	452nd	false
mwlib	116,721	http://pypi.python.org/pypi/mwlib/0.15.8	mediawiki parser and utility library	453rd	false
zope.app.dependable	116,236	http://pypi.python.org/pypi/zope.app.dependable/3.5.1	Simple Dependency API	454th	false
buildout.dumppickedversions	115,851	http://pypi.python.org/pypi/buildout.dumppickedversions/0.5	Dump buildout picked versions.	455th	false
bellatrix	115,370	http://pypi.python.org/pypi/bellatrix/1.1.10	Bellatrix is a comprehensive set of tools to automate the management of Amazon EC2 services.	456th	false
Products.CMFPlone	114,864	http://pypi.python.org/pypi/Products.CMFPlone/4.3	The Plone Content Management System (core)	457th	false
INITools	113,802	http://pypi.python.org/pypi/INITools/0.3.1	Tools for parsing and using INI-style files	458th	false
zope.app.basicskin	113,715	http://pypi.python.org/pypi/zope.app.basicskin/3.5.1	Zope ZMI Basic Skin	459th	false
AccessControl	113,241	http://pypi.python.org/pypi/AccessControl/3.0.7	Security framework for Zope2.	460th	false
B1python	112,970	http://pypi.python.org/pypi/B1python/0.8.7	Python macros for (A)SAXS evaluation	461st	false
slimit	112,903	http://pypi.python.org/pypi/slimit/0.8.1	SlimIt - JavaScript minifier	462nd	false
django-lfs	112,577	http://pypi.python.org/pypi/django-lfs/0.7.7	LFS - Lightning Fast Shop	463rd	false
python-Levenshtein	112,323	http://pypi.python.org/pypi/python-Levenshtein/0.10.2	Python extension computing string distances and similarities.	464th	false
django-bootstrap-toolkit	112,017	http://pypi.python.org/pypi/django-bootstrap-toolkit/2.12.0	Bootstrap support for Django projects	465th	false
zope.datetime	112,010	http://pypi.python.org/pypi/zope.datetime/4.0.0	Zope datetime	466th	false
